"INCIDENT NUMBER","CRASH DATE","STREET ADDRESS","CITY","STATE","INTERSECTING STREET","DISTRICT","ZONE","CRASH OCCURRED ON","TYPE OF ROADWAY","ROAD SURFACE","ROADWAY CONDITION","WEATHER CONDITION","LIGHTING CONDITION","INJURY","FATALITY","HIT AND RUN","PEDESTRIAN INVOLVED","TRAIN INVOLVED","INTERSECTION","TOTAL VEHICLES","VEHICLE ALIGNMENT","RELATION TO ROADWAY","MANNER OF COLLISION","PRIMARY FACTOR","SECONDARY FACTOR","LATITUDE","LONGITUDE","GEOMETRY"
"23-48524","2023 May 19 01:00:00 AM","9001 AIRLINE  HWY","Baton Rouge","LA","GOODWOOD","11","2B-3","US highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Movement prior to crash","Movement prior to crash","30.40880807558","-91.1014448909736","POINT (-91.1014508 30.4088136)"
"23-48527","2023 May 19 01:00:00 AM","7000 FLORIDA BLVD","Baton Rouge","LA","S DONMOOR","7","3G-1","US highway","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Not applicable","30.4514501631937","-91.1185090731822","POINT (-91.118515 30.4514557)"
"23-48573","2023 May 19 01:00:00 AM","7700 JEFFERSON  HWY","Baton Rouge","LA","MCCARROLL","11","3G-4","State highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Violations","30.4274289386456","-91.1069447093677","POINT (-91.1069506 30.4274344)"
"23-48310","2023 May 19 01:00:00 AM","1265 SHERWOOD FOREST BLVD","Baton Rouge","LA","SHERATON","6","3E-1","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","1","Curve Left","Roadside","Not a collision between two motor vehicles in transport","Violations","Violations","30.4457443545295","-91.0575909688484","POINT (-91.0575969 30.4457498)"
"23-48381","2023 May 19 01:00:00 AM","9600 AIRLINE","Baton Rouge","LA","OLD HAMMOND","11","3G-4","US highway","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","0","0","1","0","0","false","3","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.430762849581","-91.0801713729136","POINT (-91.0801773 30.4307683)"
"23-48417","2023 May 19 01:00:00 AM","76 INTERSTATE 12 HWY","Baton Rouge","LA","ESSEN","11","2B-3","Interstate","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.4180463427355","-91.1075147646227","POINT (-91.1075207 30.4180518)"
"23-47889","2023 May 19 01:00:00 AM","S SHERWOOD FOREST BLVD","Baton Rouge","LA","LAKE SHERWOOD","8","3F-2","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","Unknown","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.4145528176031","-91.0516252263152","POINT (-91.0516311 30.4145583)"
"23-48597","2023 May 19 01:00:00 AM","4325 GUS YOUNG AVE","Baton Rouge","LA","N 44TH","7","1C-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","0","0","0","0","0","true","2","Straight","On roadway","Angle - left opposite direction","Violations","Movement prior to crash","30.4620811442584","-91.1452024006481","POINT (-91.1452083 30.4620866)"
"23-48629","2023 May 19 01:00:00 AM","3255 HIGHLAND RD","Baton Rouge","LA","EAST STATE","10","2D-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Unknown","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Movement prior to crash","Movement prior to crash","30.4325898268885","-91.1757178276384","POINT (-91.1757238 30.4325953)"
"23-48523","2023 May 19 01:00:00 AM","3535 PERKINS RD","Baton Rouge","LA","N. ACADIAN","12","2B-1","Off road/private property","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","Off roadway, location unknown","Backing - rear to side","Violations","Movement prior to crash","30.4218792947207","-91.1544586820979","POINT (-91.1544646 30.4218848)"
"23-48424","2023 May 19 01:00:00 AM","CAPITAL HEIGHTS AVE","Baton Rouge","LA","S. FOSTER","7","2A-2","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Backing - rear to front","Violations","Movement prior to crash","30.4426121127473","-91.1384038768397","POINT (-91.1384098 30.4426176)"
"23-48516","2023 May 19 01:00:00 AM","15461 W I-10 HWY","Baton Rouge","LA","ST FERDINAND","10","1A-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Not applicable","30.4394535977019","-91.1953945523472","POINT (-91.1954005 30.4394591)"
"23-48463","2023 May 19 01:00:00 AM","2621 N SHERWOOD FOREST DR","Baton Rouge","LA","S CHOCTAW","6","3D-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Movement prior to crash","Violations","30.4724709346829","-91.0580680907646","POINT (-91.058074 30.4724764)"
"23-48279","2023 May 19 01:00:00 AM","9900 AIRLINE HWY","Baton Rouge","LA","GWENADALE","6","3C-3","US highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","0","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Movement prior to crash","Not applicable","30.4261540572047","-91.0766556548532","POINT (-91.0766616 30.4261595)"
"23-47847","2023 May 19 01:00:00 AM","8100 LA 67","Baton Rouge","LA","HARDING","5","4C-2","State highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","0","0","0","0","0","true","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.5217047427458","-91.1452614151861","POINT (-91.1452673 30.5217102)"
"23-48430","2023 May 19 01:00:00 AM","9100 VETERANS MEMORIAL  BLVD","Baton Rouge","LA","BRIG. GEN. ISSAC SMITH","2","4B-2","City street","ONE-WAY ROAD","Dry",,"Cloudy","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.5330974370033","-91.1614780634437","POINT (-91.161484 30.5331029)"
"23-48006","2023 May 18 01:00:00 AM","410 N 22ND ST","Baton Rouge","LA","FLORIDA","10","1B-1","State highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Movement prior to crash","Violations","30.4511402636446","-91.1659707351367","POINT (-91.1659767 30.4511457)"
"23-48067","2023 May 18 01:00:00 AM","2200  LEE DR","Baton Rouge","LA","PERKINS","12","2D-3","City street","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Violations","30.415768361425","-91.1437727893106","POINT (-91.1437787 30.4157738)"
"23-48166","2023 May 18 01:00:00 AM","5950 AIRLINE  HWY","Baton Rouge","LA","GREENWELL","5","4F-2","Off road/private property","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","1","Straight","In parking lane or zone","Not a collision between two motor vehicles in transport","Movement prior to crash","Not applicable","30.5010947302794","-91.1312361412846","POINT (-91.1312421 30.5011002)"
"23-48107","2023 May 18 01:00:00 AM","2300 PERKINS AVE","Baton Rouge","LA","HOLLYDALE","12","2D-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.424529968533","-91.1580942254059","POINT (-91.1581002 30.4245354)"
"23-48055","2023 May 18 01:00:00 AM","15789 W I-10 IN","Baton Rouge","LA","S ACADIAN","11","3G-3","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Not applicable","30.4426263414339","-91.095906072192","POINT (-91.095912 30.4426318)"
"23-47960","2023 May 18 01:00:00 AM","US 61 BUS","Baton Rouge","LA","N DONMOOR","6","1D-1","US highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","true","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4515704845153","-91.1184018625276","POINT (-91.1184078 30.451576)"
"23-48057","2023 May 18 01:00:00 AM","11001 COURSEY BLVD","Baton Rouge","LA","ROYAL ASCOT","8","3C-3","City street","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","1","Curve Right","Off roadway, location unknown","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.4148708781776","-91.057735625598","POINT (-91.0577415 30.4148764)"
"23-47890","2023 May 18 01:00:00 AM","15490 I-10","Baton Rouge","LA","HIGHLAND","10","1A-1","Interstate","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Driver condition","30.4390554567605","-91.1903786727391","POINT (-91.1903846 30.4390609)"
"23-48157","2023 May 18 01:00:00 AM","2100 S ACADIAN THWY","Baton Rouge","LA","BAWELL","7","2B-1","State highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Curve Right","On roadway","Sideswipe - same direction","Violations","Not applicable","30.4283691491914","-91.1525972336758","POINT (-91.1526032 30.4283746)"
"23-48061","2023 May 18 01:00:00 AM","1800 S SHERWOOD FOREST BLVD","Baton Rouge","LA","OLD HAMMOND","8","3E-2","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Unknown",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Movement prior to crash","Not applicable","30.4362461304775","-91.0573466562731","POINT (-91.0573526 30.4362516)"
"23-48115","2023 May 18 01:00:00 AM","2600 CONVENTION ST","Baton Rouge","LA","N EUGENE","10","1B-1","City street","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Violations","30.4490615861019","-91.1609577010576","POINT (-91.1609636 30.4490671)"
"23-48261","2023 May 18 01:00:00 AM","6222 FORD ST","Baton Rouge","LA","HUDSON","5","4D-1","City street","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Dark - not lighted","1","0","1","0","0","false","2","Straight","In parking lane or zone","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.5197685595839","-91.1288350711774","POINT (-91.128841 30.5197741)"
"23-48020","2023 May 18 01:00:00 AM","2400 SCENIC HWY","Baton Rouge","LA","CHOCTAW","10","1B-2","State highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Sideswipe - same direction","Movement prior to crash","Violations","30.4698536517284","-91.1681486887744","POINT (-91.1681546 30.4698591)"
"23-48198","2023 May 18 01:00:00 AM","11700 COURSEY BLVD","Baton Rouge","LA","S SHERWOOD FOREST","8","3F-2","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Cloudy","Daylight","1","0","1","0","0","false","2","Straight","On roadway","Angle - right into flow","Violations","Violations","30.4112392498758","-91.0522349650015","POINT (-91.0522409 30.4112447)"
"23-48394","2023 May 18 01:00:00 AM","7246 PERKINS RD","Baton Rouge","LA","ESSEN","12","2E-3","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","Off roadway, location unknown","Not a collision between two motor vehicles in transport","Violations","Violations","30.3975095888816","-91.1134585012742","POINT (-91.1134644 30.3975151)"
"23-48162","2023 May 18 01:00:00 AM","300 N INTERSTATE 110 HWY","Baton Rouge","LA","CHIPPEWA","10","1B-2","Interstate","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Movement prior to crash","Violations","30.4705021511686","-91.1665992394619","POINT (-91.1666052 30.4705076)"
"23-48138","2023 May 18 01:00:00 AM","4500 ESSEN LN","Baton Rouge","LA","I-10","11","2E-3","State highway","ONE-WAY ROAD","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4045331724976","-91.103574610628","POINT (-91.1035805 30.4045387)"
"23-47931","2023 May 18 01:00:00 AM","1400 ROUNDHILL DR","Baton Rouge","LA","HYACINTH","12","2E-4","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","1","Straight","On roadway","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.3804314116896","-91.1040466075795","POINT (-91.1040525 30.3804369)"
"23-48221","2023 May 18 01:00:00 AM","1700 OLEANDER ST","Baton Rouge","LA","S 17TH","11","3G-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - street lights at intersection only","1","0","0","1","0","true","1","Straight","On roadway","Not a collision between two motor vehicles in transport","Violations","Not applicable","30.4426263414339","-91.095906072192","POINT (-91.095912 30.4426318)"
"23-48167","2023 May 18 01:00:00 AM","2500 NICHOLSON DR","Baton Rouge","LA","WEST MCKINLEY","10","2C-1","State highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","1","0","0","true","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.4235876581609","-91.1876842815762","POINT (-91.1876902 30.4235931)"
"23-48185","2023 May 18 01:00:00 AM","1800 PLANK  RD","Baton Rouge","LA","JEFFERSON","7","1B-2","State highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Angle - left opposite direction","Violations","Movement prior to crash","30.4643156582591","-91.1655263558965","POINT (-91.1655323 30.4643211)"
"23-47879","2023 May 18 01:00:00 AM","5200 ESSEN   LN","Baton Rouge","LA","SUMMA","11","2E-3","State highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.4012740794465","-91.1057460870998","POINT (-91.105752 30.4012796)"
"23-47903","2023 May 18 01:00:00 AM","11100 COURSEY BLVD","Baton Rouge","LA","ROYAL ASCOT","8","3C-3","City street","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","3","Straight","On roadway","Front to rear - rear end","Violations","Driver condition","30.4149036409222","-91.057859760557","POINT (-91.0578657 30.4149091)"
"23-47971","2023 May 18 01:00:00 AM","10700 CLETUS DR","Baton Rouge","LA","ACORN","6","3D-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","On roadway","Backing - rear to rear","Violations","Driver condition","30.4685818013957","-91.0646582264137","POINT (-91.0646641 30.4685873)"
"23-47898","2023 May 18 01:00:00 AM","5200 CORPORATE BLVD","Baton Rouge","LA","TRUST","7","2B-2","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Angle - left opposite direction","Violations","Movement prior to crash","30.424867040985","-91.1352504599879","POINT (-91.1352564 30.4248725)"
"23-48091","2023 May 18 01:00:00 AM","2000 O'NEAL LN","Baton Rouge","LA","MEDICAL CENTER","9","3F-1","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","On roadway","Front to rear - rear end","Movement prior to crash","Violations","30.4401463874264","-91.0074796468003","POINT (-91.0074855 30.4401519)"
"23-47872","2023 May 18 01:00:00 AM","800 INTERSTATE 110 ST","Baton Rouge","LA","HWY 19","2","4B-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Violations","30.5348702864855","-91.1730929823379","POINT (-91.1730989 30.5348758)"
"23-48080","2023 May 18 01:00:00 AM","15951 I-10","Baton Rouge","LA","COLLEGE","7","2B-2","Interstate","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","0","0","1","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.4226179875985","-91.134304822121","POINT (-91.1343107 30.4226235)"
"23-47978","2023 May 18 01:00:00 AM","4500 ESSEN LN","Baton Rouge","LA","I-10","11","2E-3","State highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","4","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4068658364054","-91.1024888871751","POINT (-91.1024948 30.4068713)"
"23-47943","2023 May 18 01:00:00 AM","7400 HIGHLAND RD","Baton Rouge","LA","KENILWORTH","12","2E-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.3775251040604","-91.1377136922738","POINT (-91.1377196 30.3775306)"
"23-47995","2023 May 18 01:00:00 AM","1988 O'NEAL  LN","Baton Rouge","LA","MEDICAL","8","3F-1","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","In parking lane or zone","Backing - rear to rear","Violations","Violations","30.4402466684479","-91.0080755063906","POINT (-91.0080814 30.4402522)"
"23-48014","2023 May 18 01:00:00 AM","3200 JUBAN AVE","Baton Rouge","LA","WINBOURNE","7","1D-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Backing - rear to front","Violations","Violations","30.47945638458","-91.1216714231008","POINT (-91.1216773 30.4794619)"
"23-48165","2023 May 18 01:00:00 AM","7300 PERKINS RD","Baton Rouge","LA","ONE PERKINS","12","2E-3","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Violations","30.3973791926024","-91.1131962114519","POINT (-91.1132021 30.3973847)"
"23-48756","2023 May 18 01:00:00 AM","6305 AIRLINE HWY","Baton Rouge","LA","AIRLINE","5","4F-2","Off road/private property","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Other","Gravel","Clear","Other","1","0","1","0","0","false","2","Straight","Roadside","Not a collision between two motor vehicles in transport","Violations","Violations","30.4974339853539","-91.1271055505388","POINT (-91.1271115 30.4974395)"
"23-47887","2023 May 18 01:00:00 AM","15452 I-10","Baton Rouge","LA","NICHOLSON","10","1A-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Vision obstructions","Movement prior to crash","30.4390152491206","-91.189709995912","POINT (-91.1897159 30.4390207)"
"23-47888","2023 May 18 01:00:00 AM","2500 WOODDALE BLVD","Baton Rouge","LA","E INDUSTRIAL","6","1D-2","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Movement prior to crash","Violations","30.4726647921344","-91.1159314960263","POINT (-91.1159374 30.4726703)"
"23-48093","2023 May 18 01:00:00 AM","400 E. BOYD DR","Baton Rouge","LA","BURBANK","10","2D-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","Unknown","Front to rear - rear end","Violations","Movement prior to crash","30.4227549647069","-91.169085634288","POINT (-91.1690916 30.4227604)"
"23-48081","2023 May 18 01:00:00 AM","3700 LA 427","Baton Rouge","LA","S. ACADIAN","12","2B-1","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.4209934749855","-91.1524551740042","POINT (-91.1524611 30.420999)"
"23-47891","2023 May 18 01:00:00 AM","6401 MALL OF LOUISIANA","Baton Rouge","LA","BLURBONNET","11","2F-2","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Curve Left","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.3888721743459","-91.0917299028205","POINT (-91.0917358 30.3888776)"
"23-48120","2023 May 18 01:00:00 AM","15674 INTERSTATE 10 HWY","Baton Rouge","LA","DALRYMPLE","10","2D-1","Interstate","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4270154935209","-91.1688659780389","POINT (-91.1688719 30.427021)"
"23-47935","2023 May 18 01:00:00 AM","2600 COLLEGE DR","Baton Rouge","LA","I-10","7","2B-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4228539132394","-91.1395591606482","POINT (-91.1395651 30.4228594)"
"23-47979","2023 May 18 01:00:00 AM","12200 GIBBENS RD","Baton Rouge","LA","THOMAS","2","4B-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - left overtake","Violations","Violations","30.5575819147058","-91.1567744233093","POINT (-91.1567804 30.5575874)"
"23-48089","2023 May 18 01:00:00 AM","15800 WEST I-10 HWY","Baton Rouge","LA","COLLEGE","7","2B-2","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Violations","30.4226504889544","-91.1350744537709","POINT (-91.1350804 30.422656)"
"23-47541","2023 May 17 01:00:00 AM","INTERSTATE 10 HWY","Baton Rouge","LA","ESSEN","11","2B-3","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Sideswipe - same direction","Violations","Not applicable","30.4094206878372","-91.1032978838107","POINT (-91.1033038 30.4094262)"
"23-47456","2023 May 17 01:00:00 AM","1800 S ACADIAN THWY","Baton Rouge","LA","HUNDRED OAKS","7","2B-1","State highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","1","0","0","true","2","Straight","On roadway","Front to rear - rear end","Violations","Violations","30.4319700618652","-91.1525569948378","POINT (-91.1525629 30.4319755)"
"23-47553","2023 May 17 01:00:00 AM","5289 HIGHLAND RD","Baton Rouge","LA","LEE","12","2C-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.3942197465513","-91.1602227590116","POINT (-91.1602287 30.3942252)"
"23-47503","2023 May 17 01:00:00 AM","HILTON AVE","Baton Rouge","LA","TRUST","7","2B-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","1","0","0","true","2","Straight","On roadway","Backing - rear to front","Violations","Not applicable","30.4236690746713","-91.1349908643305","POINT (-91.1349968 30.4236746)"
"23-47660","2023 May 17 01:00:00 AM","3172 GOVERNMENT DR","Baton Rouge","LA","HEARTHSTONE","10","2D-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.4227549647069","-91.169085634288","POINT (-91.1690916 30.4227604)"
"23-47433","2023 May 17 01:00:00 AM","16092 INTERSTATE 10 HWY","Baton Rouge","LA","ESSEN","11","2B-3","Interstate","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.4049104167826","-91.0985731683263","POINT (-91.0985791 30.4049159)"
"23-47570","2023 May 17 01:00:00 AM","700 ST. PHILLIP ST","Baton Rouge","LA","EUROPE","10","5A-1","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","0","0","0","0","0","true","2","Straight","On roadway","Angle - left overtake","Violations","Movement prior to crash","30.4418123276038","-91.1874391268184","POINT (-91.1874451 30.4418178)"
"23-47689","2023 May 17 01:00:00 AM","15848 I-10","Baton Rouge","LA","ACADIAN","7","2B-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Driver condition","30.4238698378405","-91.1466435156115","POINT (-91.1466494 30.4238753)"
"23-47671","2023 May 17 01:00:00 AM","2900 PERKINS RD","Baton Rouge","LA","HOLLYDALE","12","2B-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Driver condition","30.4247903582468","-91.1582020484343","POINT (-91.158208 30.4247958)"
"23-47468","2023 May 17 01:00:00 AM","901 NORTH BLVD","Baton Rouge","LA","NORTH 9TH","10","1A-1","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4474452509252","-91.1799986877534","POINT (-91.1800046 30.4474507)"
"23-47549","2023 May 17 01:00:00 AM","14900 FLORIDA  BLVD","Baton Rouge","LA","PONDEROSA","4","3D-3","US highway","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","On roadway","Angle - left overtake","Violations","Violations","30.4635851384012","-91.0278209304781","POINT (-91.0278268 30.4635906)"
"23-47710","2023 May 17 01:00:00 AM","6000 PLANK  RD","Baton Rouge","LA","DENHAM","5","4F-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Front to rear - rear end","Driver condition","Movement prior to crash","30.5044549562715","-91.1512266523026","POINT (-91.1512326 30.5044605)"
"23-48098","2023 May 17 01:00:00 AM","2400 DALRYMPLE DR","Baton Rouge","LA","APRIL","12","2D-2","City street","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","1","Straight","On shoulder, right side","Not a collision between two motor vehicles in transport","Vehicle condition","Not applicable","30.4248004656991","-91.1686180768794","POINT (-91.168624 30.4248059)"
"23-47662","2023 May 17 01:00:00 AM","5300 HIGHLAND RD","Baton Rouge","LA","PRIVATE ROADWAY","12","2C-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","1","0","0","true","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Driver condition","30.3938188365697","-91.1596680983791","POINT (-91.159674 30.3938243)"
